object,otype,majaxis_arcmin,minaxis_arcmin
2MASS J00465990-3054505,*,,
2MASS J00470583-2558223,*,,
2MASS J00484931-2513018,UV,,
2MASS J00493033-2630121,*,,
2MASS J00520621-2541571,*,,
2MASS J00524683-2752496,UV,,
2MASS J00525142-2630131,HS?,,
2MASS J00542783-2454520,*,,
2MASS J00551124-2451236,*,,
2MASS J00565964+3003475,PM*,,
2MASS J00574883-2500564,*,,
2MASS J00575531-3021533,*,,
2MASS J00594410-3334543,*,,
2MASS J00595191-3347436,Ev*,,
2MASS J00595698-3344168,Ev*,,
2MASS J00595754-3348540,RG*,,
2MASS J01000552-3340160,Ev*,,
2MASS J01000746-3343198,Pe*,,
2MASS J01001690-3343514,Ev*,,
2MASS J01002000-3345446,*,,
